contract,local_path,source_repository,source_link
FactoryStructs,contracts/utils/factory/FactoryStructs.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
BurnableToken,contracts/tokenmarketnet/contracts/BurnableToken.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
RestrictedTransferAgent,contracts/tokenmarketnet/contracts/security-token/RestrictedTransferAgent.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
IRecoverable,contracts/recovery/IRecoverable.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
DraggableSharesWithPredecessor,contracts/shares/DraggableSharesWithPredecessor.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
Maximillion,contracts/compound/contracts/Maximillion.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
JumpRateModelV2,contracts/compound/contracts/JumpRateModelV2.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
CErc20Immutable,contracts/compound/contracts/CErc20Immutable.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
IERC1363Spender,contracts/IERC1363Spender.sol,OpenZeppelin-style Public Implementations,https://github.com/OpenZeppelin/openzeppelin-contracts
AccountIngress,contracts/permissioning/contracts/AccountIngress.sol,Permissioning Smart Contracts,https://github.com/ConsenSys/permissioning-smart-contracts
IShares,contracts/shares/IShares.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
NodeIngress,contracts/permissioning/contracts/NodeIngress.sol,Permissioning Smart Contracts,https://github.com/ConsenSys/permissioning-smart-contracts
EtherLotto,contracts/EtherLotto.sol,Public Smart-Contract Benchmark Collections,https://github.com/crytic/not-so-smart-contracts
ExposedAccountRulesList,contracts/permissioning/contracts/ExposedAccountRulesList.sol,Permissioning Smart Contracts,https://github.com/ConsenSys/permissioning-smart-contracts
InterestRateModel,contracts/compound/contracts/InterestRateModel.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
IntentVerifier,contracts/market/IntentVerifier.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
TimeVault,contracts/tokenmarketnet/contracts/TimeVault.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
DraggableSharesWithPredecessorExternal,contracts/shares/DraggableSharesWithPredecessorExternal.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
FlatPricing,contracts/tokenmarketnet/contracts/FlatPricing.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
